file_name,accuracy
adjunct_island.jsonl,0.849
anaphor_gender_agreement.jsonl,0.963
anaphor_number_agreement.jsonl,0.988
animate_subject_passive.jsonl,0.784
animate_subject_trans.jsonl,0.853
causative.jsonl,0.725
complex_NP_island.jsonl,0.528
coordinate_structure_constraint_complex_left_branch.jsonl,0.662
coordinate_structure_constraint_object_extraction.jsonl,0.852
determiner_noun_agreement_1.jsonl,0.995
determiner_noun_agreement_2.jsonl,0.994
determiner_noun_agreement_irregular_1.jsonl,0.941
determiner_noun_agreement_irregular_2.jsonl,0.965
determiner_noun_agreement_with_adj_2.jsonl,0.947
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.872
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.929
determiner_noun_agreement_with_adjective_1.jsonl,0.969
distractor_agreement_relational_noun.jsonl,0.878
distractor_agreement_relative_clause.jsonl,0.729
drop_argument.jsonl,0.789
ellipsis_n_bar_1.jsonl,0.878
ellipsis_n_bar_2.jsonl,0.871
existential_there_object_raising.jsonl,0.862
existential_there_quantifiers_1.jsonl,0.981
existential_there_quantifiers_2.jsonl,0.375
existential_there_subject_raising.jsonl,0.893
expletive_it_object_raising.jsonl,0.786
inchoative.jsonl,0.615
intransitive.jsonl,0.783
irregular_past_participle_adjectives.jsonl,0.914
irregular_past_participle_verbs.jsonl,0.87
irregular_plural_subject_verb_agreement_1.jsonl,0.904
irregular_plural_subject_verb_agreement_2.jsonl,0.925
left_branch_island_echo_question.jsonl,0.421
left_branch_island_simple_question.jsonl,0.668
matrix_question_npi_licensor_present.jsonl,0.531
npi_present_1.jsonl,0.543
npi_present_2.jsonl,0.572
only_npi_licensor_present.jsonl,0.865
only_npi_scope.jsonl,0.738
passive_1.jsonl,0.868
passive_2.jsonl,0.901
principle_A_c_command.jsonl,0.72
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.946
principle_A_domain_1.jsonl,0.994
principle_A_domain_2.jsonl,0.885
principle_A_domain_3.jsonl,0.518
principle_A_reconstruction.jsonl,0.395
regular_plural_subject_verb_agreement_1.jsonl,0.944
regular_plural_subject_verb_agreement_2.jsonl,0.909
sentential_negation_npi_licensor_present.jsonl,0.988
sentential_negation_npi_scope.jsonl,0.746
sentential_subject_island.jsonl,0.379
superlative_quantifiers_1.jsonl,0.898
superlative_quantifiers_2.jsonl,0.939
tough_vs_raising_1.jsonl,0.583
tough_vs_raising_2.jsonl,0.907
transitive.jsonl,0.89
wh_island.jsonl,0.821
wh_questions_object_gap.jsonl,0.845
wh_questions_subject_gap.jsonl,0.943
wh_questions_subject_gap_long_distance.jsonl,0.872
wh_vs_that_no_gap.jsonl,0.973
wh_vs_that_no_gap_long_distance.jsonl,0.974
wh_vs_that_with_gap.jsonl,0.542
wh_vs_that_with_gap_long_distance.jsonl,0.417
