file_name,accuracy
adjunct_island.jsonl,0.801
anaphor_gender_agreement.jsonl,0.807
anaphor_number_agreement.jsonl,0.959
animate_subject_passive.jsonl,0.761
animate_subject_trans.jsonl,0.747
causative.jsonl,0.679
complex_NP_island.jsonl,0.599
coordinate_structure_constraint_complex_left_branch.jsonl,0.295
coordinate_structure_constraint_object_extraction.jsonl,0.754
determiner_noun_agreement_1.jsonl,0.97
determiner_noun_agreement_2.jsonl,0.953
determiner_noun_agreement_irregular_1.jsonl,0.854
determiner_noun_agreement_irregular_2.jsonl,0.919
determiner_noun_agreement_with_adj_2.jsonl,0.904
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.798
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.848
determiner_noun_agreement_with_adjective_1.jsonl,0.915
distractor_agreement_relational_noun.jsonl,0.756
distractor_agreement_relative_clause.jsonl,0.534
drop_argument.jsonl,0.786
ellipsis_n_bar_1.jsonl,0.639
ellipsis_n_bar_2.jsonl,0.814
existential_there_object_raising.jsonl,0.797
existential_there_quantifiers_1.jsonl,0.929
existential_there_quantifiers_2.jsonl,0.477
existential_there_subject_raising.jsonl,0.822
expletive_it_object_raising.jsonl,0.75
inchoative.jsonl,0.621
intransitive.jsonl,0.773
irregular_past_participle_adjectives.jsonl,0.629
irregular_past_participle_verbs.jsonl,0.904
irregular_plural_subject_verb_agreement_1.jsonl,0.846
irregular_plural_subject_verb_agreement_2.jsonl,0.873
left_branch_island_echo_question.jsonl,0.438
left_branch_island_simple_question.jsonl,0.292
matrix_question_npi_licensor_present.jsonl,0.241
npi_present_1.jsonl,0.37
npi_present_2.jsonl,0.434
only_npi_licensor_present.jsonl,0.774
only_npi_scope.jsonl,0.795
passive_1.jsonl,0.878
passive_2.jsonl,0.873
principle_A_c_command.jsonl,0.597
principle_A_case_1.jsonl,0.999
principle_A_case_2.jsonl,0.921
principle_A_domain_1.jsonl,0.976
principle_A_domain_2.jsonl,0.826
principle_A_domain_3.jsonl,0.475
principle_A_reconstruction.jsonl,0.302
regular_plural_subject_verb_agreement_1.jsonl,0.829
regular_plural_subject_verb_agreement_2.jsonl,0.874
sentential_negation_npi_licensor_present.jsonl,1.0
sentential_negation_npi_scope.jsonl,0.494
sentential_subject_island.jsonl,0.275
superlative_quantifiers_1.jsonl,0.643
superlative_quantifiers_2.jsonl,0.493
tough_vs_raising_1.jsonl,0.548
tough_vs_raising_2.jsonl,0.832
transitive.jsonl,0.836
wh_island.jsonl,0.556
wh_questions_object_gap.jsonl,0.621
wh_questions_subject_gap.jsonl,0.898
wh_questions_subject_gap_long_distance.jsonl,0.913
wh_vs_that_no_gap.jsonl,0.948
wh_vs_that_no_gap_long_distance.jsonl,0.955
wh_vs_that_with_gap.jsonl,0.452
wh_vs_that_with_gap_long_distance.jsonl,0.19
