file_name,accuracy
adjunct_island.jsonl,0.893
anaphor_gender_agreement.jsonl,0.988
anaphor_number_agreement.jsonl,0.995
animate_subject_passive.jsonl,0.771
animate_subject_trans.jsonl,0.873
causative.jsonl,0.777
complex_NP_island.jsonl,0.657
coordinate_structure_constraint_complex_left_branch.jsonl,0.645
coordinate_structure_constraint_object_extraction.jsonl,0.859
determiner_noun_agreement_1.jsonl,0.996
determiner_noun_agreement_2.jsonl,0.986
determiner_noun_agreement_irregular_1.jsonl,0.941
determiner_noun_agreement_irregular_2.jsonl,0.964
determiner_noun_agreement_with_adj_2.jsonl,0.943
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.917
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.917
determiner_noun_agreement_with_adjective_1.jsonl,0.975
distractor_agreement_relational_noun.jsonl,0.899
distractor_agreement_relative_clause.jsonl,0.777
drop_argument.jsonl,0.778
ellipsis_n_bar_1.jsonl,0.864
ellipsis_n_bar_2.jsonl,0.871
existential_there_object_raising.jsonl,0.858
existential_there_quantifiers_1.jsonl,0.978
existential_there_quantifiers_2.jsonl,0.544
existential_there_subject_raising.jsonl,0.898
expletive_it_object_raising.jsonl,0.778
inchoative.jsonl,0.655
intransitive.jsonl,0.776
irregular_past_participle_adjectives.jsonl,0.936
irregular_past_participle_verbs.jsonl,0.859
irregular_plural_subject_verb_agreement_1.jsonl,0.929
irregular_plural_subject_verb_agreement_2.jsonl,0.936
left_branch_island_echo_question.jsonl,0.471
left_branch_island_simple_question.jsonl,0.747
matrix_question_npi_licensor_present.jsonl,0.485
npi_present_1.jsonl,0.632
npi_present_2.jsonl,0.54
only_npi_licensor_present.jsonl,0.899
only_npi_scope.jsonl,0.699
passive_1.jsonl,0.888
passive_2.jsonl,0.888
principle_A_c_command.jsonl,0.753
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.94
principle_A_domain_1.jsonl,0.994
principle_A_domain_2.jsonl,0.896
principle_A_domain_3.jsonl,0.603
principle_A_reconstruction.jsonl,0.449
regular_plural_subject_verb_agreement_1.jsonl,0.953
regular_plural_subject_verb_agreement_2.jsonl,0.92
sentential_negation_npi_licensor_present.jsonl,0.986
sentential_negation_npi_scope.jsonl,0.735
sentential_subject_island.jsonl,0.354
superlative_quantifiers_1.jsonl,0.903
superlative_quantifiers_2.jsonl,0.91
tough_vs_raising_1.jsonl,0.633
tough_vs_raising_2.jsonl,0.904
transitive.jsonl,0.888
wh_island.jsonl,0.858
wh_questions_object_gap.jsonl,0.866
wh_questions_subject_gap.jsonl,0.945
wh_questions_subject_gap_long_distance.jsonl,0.908
wh_vs_that_no_gap.jsonl,0.975
wh_vs_that_no_gap_long_distance.jsonl,0.957
wh_vs_that_with_gap.jsonl,0.422
wh_vs_that_with_gap_long_distance.jsonl,0.325
