file_name,accuracy
adjunct_island.jsonl,0.916
anaphor_gender_agreement.jsonl,0.987
anaphor_number_agreement.jsonl,0.995
animate_subject_passive.jsonl,0.758
animate_subject_trans.jsonl,0.872
causative.jsonl,0.738
complex_NP_island.jsonl,0.637
coordinate_structure_constraint_complex_left_branch.jsonl,0.78
coordinate_structure_constraint_object_extraction.jsonl,0.866
determiner_noun_agreement_1.jsonl,0.994
determiner_noun_agreement_2.jsonl,0.985
determiner_noun_agreement_irregular_1.jsonl,0.942
determiner_noun_agreement_irregular_2.jsonl,0.951
determiner_noun_agreement_with_adj_2.jsonl,0.945
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.911
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.914
determiner_noun_agreement_with_adjective_1.jsonl,0.974
distractor_agreement_relational_noun.jsonl,0.838
distractor_agreement_relative_clause.jsonl,0.785
drop_argument.jsonl,0.754
ellipsis_n_bar_1.jsonl,0.822
ellipsis_n_bar_2.jsonl,0.914
existential_there_object_raising.jsonl,0.89
existential_there_quantifiers_1.jsonl,0.974
existential_there_quantifiers_2.jsonl,0.56
existential_there_subject_raising.jsonl,0.909
expletive_it_object_raising.jsonl,0.812
inchoative.jsonl,0.649
intransitive.jsonl,0.776
irregular_past_participle_adjectives.jsonl,0.913
irregular_past_participle_verbs.jsonl,0.827
irregular_plural_subject_verb_agreement_1.jsonl,0.921
irregular_plural_subject_verb_agreement_2.jsonl,0.901
left_branch_island_echo_question.jsonl,0.545
left_branch_island_simple_question.jsonl,0.886
matrix_question_npi_licensor_present.jsonl,0.586
npi_present_1.jsonl,0.606
npi_present_2.jsonl,0.606
only_npi_licensor_present.jsonl,0.881
only_npi_scope.jsonl,0.736
passive_1.jsonl,0.877
passive_2.jsonl,0.877
principle_A_c_command.jsonl,0.823
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.938
principle_A_domain_1.jsonl,0.998
principle_A_domain_2.jsonl,0.911
principle_A_domain_3.jsonl,0.622
principle_A_reconstruction.jsonl,0.466
regular_plural_subject_verb_agreement_1.jsonl,0.934
regular_plural_subject_verb_agreement_2.jsonl,0.915
sentential_negation_npi_licensor_present.jsonl,0.991
sentential_negation_npi_scope.jsonl,0.68
sentential_subject_island.jsonl,0.481
superlative_quantifiers_1.jsonl,0.902
superlative_quantifiers_2.jsonl,0.895
tough_vs_raising_1.jsonl,0.628
tough_vs_raising_2.jsonl,0.897
transitive.jsonl,0.87
wh_island.jsonl,0.806
wh_questions_object_gap.jsonl,0.88
wh_questions_subject_gap.jsonl,0.945
wh_questions_subject_gap_long_distance.jsonl,0.921
wh_vs_that_no_gap.jsonl,0.977
wh_vs_that_no_gap_long_distance.jsonl,0.959
wh_vs_that_with_gap.jsonl,0.404
wh_vs_that_with_gap_long_distance.jsonl,0.353
