file_name,accuracy
adjunct_island.jsonl,0.893
anaphor_gender_agreement.jsonl,0.986
anaphor_number_agreement.jsonl,0.995
animate_subject_passive.jsonl,0.786
animate_subject_trans.jsonl,0.891
causative.jsonl,0.68
complex_NP_island.jsonl,0.598
coordinate_structure_constraint_complex_left_branch.jsonl,0.789
coordinate_structure_constraint_object_extraction.jsonl,0.852
determiner_noun_agreement_1.jsonl,0.984
determiner_noun_agreement_2.jsonl,0.963
determiner_noun_agreement_irregular_1.jsonl,0.899
determiner_noun_agreement_irregular_2.jsonl,0.936
determiner_noun_agreement_with_adj_2.jsonl,0.934
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.874
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.901
determiner_noun_agreement_with_adjective_1.jsonl,0.957
distractor_agreement_relational_noun.jsonl,0.871
distractor_agreement_relative_clause.jsonl,0.664
drop_argument.jsonl,0.742
ellipsis_n_bar_1.jsonl,0.776
ellipsis_n_bar_2.jsonl,0.934
existential_there_object_raising.jsonl,0.858
existential_there_quantifiers_1.jsonl,0.975
existential_there_quantifiers_2.jsonl,0.6
existential_there_subject_raising.jsonl,0.896
expletive_it_object_raising.jsonl,0.794
inchoative.jsonl,0.611
intransitive.jsonl,0.77
irregular_past_participle_adjectives.jsonl,0.955
irregular_past_participle_verbs.jsonl,0.865
irregular_plural_subject_verb_agreement_1.jsonl,0.911
irregular_plural_subject_verb_agreement_2.jsonl,0.905
left_branch_island_echo_question.jsonl,0.493
left_branch_island_simple_question.jsonl,0.901
matrix_question_npi_licensor_present.jsonl,0.639
npi_present_1.jsonl,0.657
npi_present_2.jsonl,0.681
only_npi_licensor_present.jsonl,0.97
only_npi_scope.jsonl,0.799
passive_1.jsonl,0.885
passive_2.jsonl,0.896
principle_A_c_command.jsonl,0.717
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.926
principle_A_domain_1.jsonl,0.994
principle_A_domain_2.jsonl,0.828
principle_A_domain_3.jsonl,0.569
principle_A_reconstruction.jsonl,0.454
regular_plural_subject_verb_agreement_1.jsonl,0.941
regular_plural_subject_verb_agreement_2.jsonl,0.904
sentential_negation_npi_licensor_present.jsonl,0.993
sentential_negation_npi_scope.jsonl,0.691
sentential_subject_island.jsonl,0.464
superlative_quantifiers_1.jsonl,0.895
superlative_quantifiers_2.jsonl,0.862
tough_vs_raising_1.jsonl,0.636
tough_vs_raising_2.jsonl,0.826
transitive.jsonl,0.831
wh_island.jsonl,0.804
wh_questions_object_gap.jsonl,0.824
wh_questions_subject_gap.jsonl,0.921
wh_questions_subject_gap_long_distance.jsonl,0.891
wh_vs_that_no_gap.jsonl,0.966
wh_vs_that_no_gap_long_distance.jsonl,0.95
wh_vs_that_with_gap.jsonl,0.306
wh_vs_that_with_gap_long_distance.jsonl,0.222
